,AUC ROC,Algorithm,Avg. Precision,Fold,Time
102,0.5832336862185122,"node2vec [dim=128, p=1.0, q=1.0, t=5",0.4251869486492372,2,480.4035013320099
103,0.5834270519321851,"node2vec [dim=128, p=1.0, q=1.0, t=5 + topics",0.4249590394235983,2,506.96602679300116
104,0.5906818465532327,"node2vec [dim=128, p=1.0, q=2.0, t=5",0.43209931700156495,2,474.2903405329998
105,0.5847772015999827,"node2vec [dim=128, p=1.0, q=2.0, t=5 + topics",0.4258363874358272,2,522.7091140650008
106,0.5836130659083809,"node2vec [dim=128, p=2.0, q=0.5, t=5",0.4250147834615354,2,467.750691068999
107,0.5811529535750004,"node2vec [dim=128, p=2.0, q=0.5, t=5 + topics",0.4207437968405861,2,511.40160001900216
108,0.5802168997365323,"node2vec [dim=128, p=2.0, q=1.0, t=5",0.42248453239248895,2,476.94450385999517
109,0.5843913766213291,"node2vec [dim=128, p=2.0, q=1.0, t=5 + topics",0.4255133341711797,2,505.65134620100434
110,0.5834353585236551,"node2vec [dim=128, p=2.0, q=2.0, t=5",0.4268513184059026,2,470.34976389999787
111,0.5858949250354778,"node2vec [dim=128, p=2.0, q=2.0, t=5 + topics",0.4266167936618373,2,512.4896441910096
112,0.5749637698495437,Our model,0.4269837085378627,2,78.76180525199744
113,0.5261063431978491,Barbera model,0.3853471931626943,2,73.75085863900313
114,0.5990989641867082,"node2vec [dim=13, p=0.5, q=0.5, t=5",0.4311131195168628,3,430.9463970710058
115,0.5988223052411118,"node2vec [dim=13, p=0.5, q=0.5, t=5 + topics",0.4333615439680564,3,451.4005219459941
116,0.6012832511822013,"node2vec [dim=13, p=0.5, q=1.0, t=5",0.4348888798980009,3,441.441799445005
117,0.5904991354044541,"node2vec [dim=13, p=0.5, q=1.0, t=5 + topics",0.426463159253577,3,457.455091501004
118,0.6038631207691335,"node2vec [dim=13, p=0.5, q=2.0, t=5",0.4347001638014594,3,443.7341358749982
119,0.5997887224915419,"node2vec [dim=13, p=0.5, q=2.0, t=5 + topics",0.4338154963442638,3,460.51337239400885
120,0.5890024709592501,"node2vec [dim=13, p=1.0, q=0.5, t=5",0.42015501301228003,3,428.86980581299576
121,0.6083562087041394,"node2vec [dim=13, p=1.0, q=0.5, t=5 + topics",0.4412305272909269,3,451.7418243549909
122,0.5923034616232983,"node2vec [dim=13, p=1.0, q=1.0, t=5",0.4269272354805769,3,437.7145525669912
